Date,Type,Link
2026-01-12 19:14:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7411769011086163968
2026-01-12 15:17:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7416357995548241920
2026-01-12 14:29:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7416402462959452160
2026-01-10 20:45:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7415655092483317760
2026-01-07 14:37:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414226453090795521
2026-01-06 07:27:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414057032523116545
2025-12-31 09:49:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7411992210713477120
2025-12-30 13:18:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7411335201982705664
2025-12-28 21:58:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7401514222137819141
2025-12-25 23:57:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409850472024657920
2025-12-23 22:13:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7401522843286536193
2025-12-23 22:12:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399857122483601408
2025-12-23 22:06:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407106934883057664
2025-12-23 22:05:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400259873088872448
2025-12-23 13:44:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404865823971995649
2025-12-22 22:17:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7405168648065339392
2025-12-22 11:19:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7405222919317934081
2025-12-22 07:47:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404852066587869184
2025-12-17 11:46:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7406687240577331200
2025-12-17 11:46:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7405621214435856384
